stationID,latitude,longitude
1000,35.89783500,-79.18871000
1001,35.89734600,-79.16889300
1002,35.95400100,-79.00014200
1003,35.93136900,-79.00003900
1004,35.93283800,-79.00787200
1005,35.94469400,-78.99890400
1006,35.94541500,-79.00572800
1007,35.94531100,-79.00632600
1008,35.93654600,-79.01348400
1009,35.93465100,-79.02299700
1010,35.94994100,-79.01957400
1011,35.94763200,-79.02661400
1012,35.95019600,-79.01540700
1013,35.94745500,-79.01456000
1014,35.94678800,-79.00981000
1015,35.94736100,-79.01223400
1016,35.94573200,-79.01658900
1017,35.93732900,-79.01551400
1018,35.94254000,-79.01362900
1019,35.94106500,-79.01477000
1020,35.94635300,-79.01039400
1021,35.94271300,-79.01481600
1022,35.94299000,-79.01321400
1023,35.94003500,-79.01826000
1024,35.93900400,-79.01744800
1025,35.94227800,-79.01377800
1026,35.94201500,-79.01411700
1027,35.94058600,-79.01900500
1028,35.94737400,-79.01333500
1029,35.94310000,-79.01292600
1030,35.94182100,-79.01352600
1031,35.95234800,-79.01472900
1032,35.47950300,-81.52616100
1033,35.47975800,-81.51997700
1034,35.95222200,-79.06118700
1035,35.95235100,-79.05799900
1036,35.94852800,-79.05801400
1037,35.93274100,-79.02578100
1038,35.93354400,-79.02980600
1039,35.93579700,-79.02715900
1040,35.93736000,-79.02595400
1041,35.93603300,-79.03099700
1042,35.93392500,-79.05567600
1043,35.93491000,-79.05488200
1044,35.95077900,-79.06093600
1045,35.95099800,-79.06330400
1046,35.92500000,-79.03276400
1047,35.92674300,-79.03251900
1048,35.92724000,-79.03390000
1049,35.93265100,-79.03607600
1050,35.92983900,-79.03351100
1051,35.92569100,-79.03848700
1052,35.92740100,-79.03464200
1053,35.92848300,-79.03340200
1054,35.93245100,-79.03548200
1055,35.93135600,-79.03552100
1056,35.92811100,-79.03138500
1057,35.92550800,-79.03238700
1058,35.92739500,-79.03307300
1059,35.93150500,-79.03600400
1060,35.92519100,-79.03772100
1061,35.92698100,-79.03886700
1062,35.92596800,-79.03255300
1063,35.92707700,-79.03194400
1064,35.93051700,-79.03479700
1065,35.92751300,-79.03548400
1066,35.93189300,-79.03539100
1067,35.92708600,-79.03287700
1068,35.92580700,-79.03371800
1069,35.92627300,-79.04379300
1070,35.92644000,-79.04265500
1071,35.93166000,-79.05855000
1072,35.93146400,-79.05764000
1073,35.91841600,-79.09359700
1074,35.91717800,-79.09098100
1075,35.92546900,-79.07861700
1076,35.89008600,-79.07741500
1077,35.89633100,-79.07490500
1078,35.91334900,-79.07940700
1079,35.91410000,-79.07953700
1080,35.91286100,-79.08179700
1081,35.91113100,-79.07721700
1082,35.91349200,-79.07833200
1083,35.91915500,-79.07522000
1084,35.92006300,-79.07423500
1085,35.91037800,-79.06466100
1086,35.91023300,-79.06828100
1087,35.91046000,-79.06632400
1088,35.91105400,-79.07385600
1089,35.91131500,-79.06470900
1090,35.91036200,-79.07281100
1091,35.90989500,-79.07050300
1092,35.91165600,-79.07092100
1093,35.91095400,-79.07148800
1094,35.91090300,-79.07009700
1095,35.91012800,-79.07314000
1096,35.91026400,-79.07507900
1097,35.91146200,-79.07467000
1098,35.91156500,-79.07200700
1099,35.91011400,-79.06669300
1100,35.90996200,-79.06539400
1101,35.90882500,-79.06454300
1102,35.91094200,-79.07244000
1103,35.90975500,-79.06501600
